Амплитуда;Количество
152,078258462839;1
655603,77952369;179561
1311055,48078892;6210
1966507,18205414;2664
2621958,88331937;1286
3277410,5845846;718
3932862,28584983;388
4588313,98711505;278
5243765,68838028;244
5899217,38964551;222
6554669,09091073;244
7210120,79217596;186
7865572,49344119;162
8521024,19470642;132
9176475,89597164;128
9831927,59723687;140
10487379,2985021;88
11142830,9997673;76
11798282,7010326;86
12453734,4022978;60
13109186,103563;70
13764637,8048282;54
14420089,5060935;36
15075541,2073587;46
15730992,9086239;18
16386444,6098891;20
17041896,3111544;40
17697348,0124196;18
18352799,7136848;28
19008251,4149501;14
19663703,1162153;8
20319154,8174805;16
20974606,5187457;10
21630058,220011;8
22285509,9212762;18
22940961,6225414;12
23596413,3238066;6
24251865,0250719;6
24907316,7263371;12
25562768,4276023;6
26218220,1288675;2
26873671,8301328;4
27529123,531398;8
28184575,2326632;8
28840026,9339285;4
29495478,6351937;2
30150930,3364589;2
30806382,0377241;2
31461833,7389894;0
32117285,4402546;6
32772737,1415198;4
33428188,842785;0
34083640,5440503;0
34739092,2453155;0
35394543,9465807;0
36049995,647846;4
36705447,3491112;0
37360899,0503764;4
38016350,7516416;6
38671802,4529069;2
39327254,1541721;1
39982705,8554373;2
40638157,5567025;0
41293609,2579678;2
41949060,959233;0
42604512,6604982;2
43259964,3617635;6
43915416,0630287;4
44570867,7642939;4
45226319,4655591;2
45881771,1668244;0
46537222,8680896;0
47192674,5693548;2
47848126,27062;2
48503577,9718853;0
49159029,6731505;0
49814481,3744157;0
50469933,075681;4
51125384,7769462;2
51780836,4782114;0
52436288,1794766;0
53091739,8807419;0
53747191,5820071;0
54402643,2832723;2
55058094,9845375;0
55713546,6858028;0
56368998,387068;2
57024450,0883332;2
57679901,7895985;0
58335353,4908637;6
58990805,1921289;0
59646256,8933941;0
60301708,5946594;0
60957160,2959246;4
61612611,9971898;0
62268063,698455;0
62923515,3997203;0
63578967,1009855;0
64234418,8022507;0
64889870,503516;2
65545322,2047812;0
66200773,9060464;4
66856225,6073116;0
67511677,3085769;0
68167129,0098421;0
68822580,7111073;4
69478032,4123725;0
70133484,1136378;0
70788935,814903;0
71444387,5161682;2
72099839,2174335;0
72755290,9186987;0
73410742,6199639;2
74066194,3212291;4
74721646,0224944;2
75377097,7237596;0
76032549,4250248;0
76688001,1262901;0
77343452,8275553;2
77998904,5288205;0
78654356,2300857;2
79309807,931351;2
79965259,6326162;0
80620711,3338814;2
81276163,0351466;0
81931614,7364119;0
82587066,4376771;0
83242518,1389423;0
83897969,8402075;0
84553421,5414728;2
85208873,242738;2
85864324,9440032;0
86519776,6452685;0
87175228,3465337;0
87830680,0477989;0
88486131,7490641;2
89141583,4503294;2
89797035,1515946;0
90452486,8528598;0
91107938,554125;0
91763390,2553903;0
92418841,9566555;0
93074293,6579207;0
93729745,3591859;0
94385197,0604512;0
95040648,7617164;0
95696100,4629816;0
96351552,1642469;0
97007003,8655121;2
97662455,5667773;2
98317907,2680425;0
98973358,9693078;0
99628810,670573;0
100284262,371838;0
100939714,073103;0
101595165,774369;2
102250617,475634;2
102906069,176899;0
103561520,878164;0
104216972,57943;0
104872424,280695;0
105527875,98196;0
106183327,683225;0
106838779,384491;0
107494231,085756;0
108149682,787021;0
108805134,488286;0
109460586,189551;0
110116037,890817;0
110771489,592082;0
111426941,293347;0
112082392,994612;0
112737844,695878;0
113393296,397143;0
114048748,098408;4
114704199,799673;0
